entrance3,general-gate1
general-gate1,ranger-stop2
ranger-stop0,ranger-stop2
general-gate2,ranger-stop0
general-gate2,general-gate5
entrance4,general-gate5
entrance1,general-gate7
general-gate4,general-gate7
entrance2,entrance4
general-gate1,general-gate4
entrance3,general-gate7
entrance2,general-gate2
camping6,entrance2
camping2,entrance1
camping2,camping2
camping2,general-gate7
camping3,general-gate7
camping3,camping3
gate8,ranger-base
camping0,general-gate7
gate8,general-gate5
gate3,general-gate5
gate3,ranger-stop3
camping6,general-gate5
camping6,camping6
ranger-stop3,ranger-stop3
camping8,gate3
camping8,general-gate3
entrance4,general-gate6
gate4,general-gate3
camping7,general-gate6
gate4,ranger-stop5
ranger-stop5,ranger-stop5
gate4,gate5
gate5,ranger-stop6
entrance0,general-gate4
ranger-stop6,ranger-stop6
gate5,gate8
camping8,general-gate5
entrance0,general-gate1
camping5,general-gate7
camping7,camping7
general-gate5,general-gate6
ranger-stop0,ranger-stop0
camping8,camping8
general-gate7,ranger-stop4
gate5,general-gate5
ranger-stop4,ranger-stop4
gate4,gate8
ranger-stop2,ranger-stop2
gate6,ranger-stop6
camping0,camping0
gate6,gate7
gate7,ranger-stop7
ranger-stop7,ranger-stop7
camping5,camping5
camping8,general-gate2
camping4,general-gate7
gate7,general-gate4
entrance0,entrance3
gate6,general-gate7
gate2,general-gate7
gate2,ranger-stop1
ranger-stop1,ranger-stop1
camping3,entrance1
entrance2,general-gate3
camping4,camping4
camping4,entrance1
camping5,ranger-stop4
camping6,entrance4
general-gate0,general-gate2
camping1,general-gate0
camping1,camping1
camping0,entrance1
entrance3,gate6
gate7,general-gate7
entrance2,general-gate6
gate3,general-gate2
gate8,general-gate6
gate4,general-gate5
camping4,gate1
gate0,gate1
gate0,general-gate1
gate5,general-gate6
camping1,general-gate5
camping2,gate1
camping2,camping3
gate1,gate2
camping6,gate5
gate4,general-gate6
gate0,gate6
camping0,gate1
camping3,gate1
camping6,gate8
camping2,camping4
camping1,entrance2
camping4,gate2
camping1,camping8
entrance2,entrance2
entrance1,entrance1
entrance1,ranger-stop1
camping0,gate2
camping3,gate2
general-gate6,general-gate6
general-gate5,general-gate5
entrance2,general-gate5
camping0,camping2
gate6,general-gate1
general-gate7,general-gate7
entrance3,entrance3
entrance0,entrance0
gate0,general-gate4
entrance3,general-gate4
general-gate4,general-gate4
camping6,gate4
camping0,camping3
camping2,gate2
camping3,camping4
general-gate1,general-gate1
camping0,camping4
camping6,general-gate6
